ID	% identity	% coverage
mRNA14	100	54
mRNA63	100	62
mRNA19	100	96
mRNA1	99.718	100
mRNA10	100	100
mRNA11	100	100
mRNA12	100	100
mRNA13	100	100
mRNA15	100	100
mRNA16	100	100
mRNA17	100	100
mRNA18	100	100
mRNA2	99.419	100
mRNA20	100	100
mRNA21	99.459	100
mRNA22	100	100
mRNA23	99.694	100
mRNA24	98.529	100
mRNA25	99.797	100
mRNA26	99.275	100
mRNA27	100	100
mRNA28	100	100
mRNA29	100	100
mRNA3	99.805	100
mRNA30	100	100
mRNA31	99.907	100
mRNA32	100	100
mRNA33	99.918	100
mRNA34	99.149	100
mRNA35	100	100
mRNA36	100	100
mRNA37	99.459	100
mRNA38	99.803	100
mRNA39	100	100
mRNA4	100	100
mRNA40	100	100
mRNA41	100	100
mRNA42	100	100
mRNA43	98.684	100
mRNA44	100	100
mRNA45	99.441	100
mRNA46	100	100
mRNA47	100	100
mRNA48	100	100
mRNA49	100	100
mRNA5	100	100
mRNA50	100	100
mRNA51	100	100
mRNA52	100	100
mRNA53	100	100
mRNA54	100	100
mRNA55	98.925	100
mRNA56	100	100
mRNA57	98.913	100
mRNA58	100	100
mRNA59	100	100
mRNA6	100	100
mRNA60	100	100
mRNA61	100	100
mRNA62	100	100
mRNA64	100	100
mRNA65	100	100
mRNA66	100	100
mRNA67	99.787	100
mRNA68	97.191	100
mRNA69	100	100
mRNA7	100	100
mRNA70	98.78	100
mRNA71	100	100
mRNA72	100	100
mRNA73	100	100
mRNA74	99.342	100
mRNA8	100	100
mRNA9	100	100
