ID	% identity	% coverage
tRNA10	100	99
tRNA1	99.111	100
tRNA11	100	100
tRNA12	100	100
tRNA13	100	100
tRNA14	100	100
tRNA15	100	100
tRNA16	98.571	100
tRNA17	98.578	100
tRNA18	100	100
tRNA19	100	100
tRNA2	100	100
tRNA20	99.302	100
tRNA21	100	100
tRNA22	100	100
tRNA23	100	100
tRNA24	100	100
tRNA25	100	100
tRNA26	100	100
tRNA27	98.302	100
tRNA28	99.767	100
tRNA29	100	100
tRNA3	100	100
tRNA30	97.222	100
tRNA31	100	100
tRNA32	100	100
tRNA33	100	100
tRNA34	100	100
tRNA35	100	100
tRNA36	100	100
tRNA4	100	100
tRNA5	100	100
tRNA6	100	100
tRNA7	100	100
tRNA8	99.677	100
tRNA9	98.667	100
