ID	% identity	% coverage
mRNA23	99.385	99
mRNA67	99.572	99
mRNA1	100	100
mRNA10	100	100
mRNA11	100	100
mRNA12	100	100
mRNA13	97.368	100
mRNA14	100	100
mRNA15	98.81	100
mRNA16	100	100
mRNA17	97.436	100
mRNA18	100	100
mRNA19	100	100
mRNA2	98.837	100
mRNA20	99.618	100
mRNA21	99.459	100
mRNA22	100	100
mRNA24	99.16	100
mRNA25	99.391	100
mRNA26	100	100
mRNA27	96.667	100
mRNA28	100	100
mRNA29	100	100
mRNA3	99.805	100
mRNA30	100	100
mRNA31	99.721	100
mRNA32	100	100
mRNA33	99.59	100
mRNA34	99.574	100
mRNA35	100	100
mRNA36	100	100
mRNA37	99.459	100
mRNA38	99.016	100
mRNA39	100	100
mRNA4	100	100
mRNA40	99.607	100
mRNA41	100	100
mRNA42	100	100
mRNA43	96.053	100
mRNA44	100	100
mRNA45	99.441	100
mRNA46	99.703	100
mRNA47	100	100
mRNA48	100	100
mRNA49	100	100
mRNA5	100	100
mRNA50	100	100
mRNA51	100	100
mRNA52	99.259	100
mRNA53	100	100
mRNA54	99.301	100
mRNA55	98.925	100
mRNA56	100	100
mRNA57	97.826	100
mRNA58	99.01	100
mRNA59	99.415	100
mRNA6	100	100
mRNA60	99.601	100
mRNA61	100	100
mRNA62	100	100
mRNA63	99.01	100
mRNA64	100	100
mRNA65	100	100
mRNA66	100	100
mRNA68	95.504	100
mRNA69	100	100
mRNA7	100	100
mRNA70	100	100
mRNA71	99.688	100
mRNA72	100	100
mRNA73	100	100
mRNA74	98.214	100
mRNA8	100	100
mRNA9	100	100
