ID	% identity	% coverage
mRNA63	100	75
mRNA1	100	100
mRNA10	100	100
mRNA11	100	100
mRNA12	100	100
mRNA13	100	100
mRNA14	100	100
mRNA15	100	100
mRNA16	100	100
mRNA17	100	100
mRNA18	100	100
mRNA19	100	100
mRNA2	99.806	100
mRNA20	100	100
mRNA21	100	100
mRNA22	100	100
mRNA23	100	100
mRNA24	100	100
mRNA25	100	100
mRNA26	100	100
mRNA27	100	100
mRNA28	100	100
mRNA29	100	100
mRNA3	100	100
mRNA30	100	100
mRNA31	100	100
mRNA32	100	100
mRNA33	100	100
mRNA34	100	100
mRNA35	100	100
mRNA36	100	100
mRNA37	100	100
mRNA38	100	100
mRNA39	100	100
mRNA4	100	100
mRNA40	100	100
mRNA41	97.222	100
mRNA42	100	100
mRNA43	100	100
mRNA44	100	100
mRNA45	100	100
mRNA46	100	100
mRNA47	100	100
mRNA48	100	100
mRNA49	100	100
mRNA5	100	100
mRNA50	100	100
mRNA51	100	100
mRNA52	100	100
mRNA53	100	100
mRNA54	100	100
mRNA55	100	100
mRNA56	100	100
mRNA57	100	100
mRNA58	100	100
mRNA59	99.415	100
mRNA6	100	100
mRNA60	100	100
mRNA61	99.864	100
mRNA62	100	100
mRNA64	100	100
mRNA65	100	100
mRNA66	100	100
mRNA67	100	100
mRNA68	99.488	100
mRNA69	100	100
mRNA7	100	100
mRNA70	100	100
mRNA71	100	100
mRNA72	100	100
mRNA73	100	100
mRNA74	99.906	100
mRNA8	100	100
mRNA9	100	100
